Channel,Watch time(Minutes),Stream time(minutes),Peak viewers,Average viewers,Followers,Followers gained,Views gained,Partnered,Mature,Language,Giveaways
pokimane,964334055,56505,112160,16026,5367605,2085831,45579002,TRUE,FALSE,English,TRUE
lestream,955346835,253395,47638,3652,883706,124020,25815105,TRUE,FALSE,French,TRUE
ybicanoooobov,938816460,114765,17036,8255,523512,101937,16237397,TRUE,FALSE,Russian,TRUE
Method,905107560,230940,148350,4135,401400,132108,22813009,TRUE,FALSE,English,TRUE
Nightblue3,899215845,118980,17738,7234,2641880,175130,19181711,TRUE,FALSE,English,TRUE
EsfandTV,888938940,189045,29597,4393,471970,216021,24144005,TRUE,FALSE,English,TRUE
shroud,888505170,30240,471281,29612,7744066,833587,30621257,TRUE,FALSE,English,TRUE
NOBRU,888211260,38655,132224,22070,1549722,1400039,6781403,TRUE,FALSE,Portuguese,TRUE
buster,884353800,59295,97838,14195,1087377,1052053,37351933,TRUE,FALSE,Russian,TRUE
Scarra,864157695,138360,27421,6060,1242014,333090,15626904,TRUE,FALSE,English,TRUE
Baiano,859718520,85860,107069,9229,425797,363343,19412227,TRUE,FALSE,Portuguese,TRUE
괴물쥐123 (tmxk319),857951685,116400,71933,7173,427926,367486,17151766,TRUE,FALSE,Korean,TRUE
WePlayEsport_RU,853324635,92970,115737,8627,346934,243137,28789066,TRUE,FALSE,Russian,TRUE
elded,853049385,110940,44758,7699,2601858,1108422,14789437,TRUE,FALSE,Spanish,TRUE
LPL,850636305,48765,146577,17573,502467,280538,31029241,TRUE,FALSE,English,TRUE
juansguarnizo,849083325,123780,45631,6039,1204773,946280,12708431,TRUE,FALSE,Spanish,TRUE
Rakin,842581305,144510,51854,5333,1258173,517248,24523589,TRUE,FALSE,Portuguese,TRUE
SolaryHS,827452485,460065,17513,1802,149073,35986,10445269,TRUE,FALSE,French,TRUE
Cellbit,817373955,103095,68813,8264,1293451,547018,18105470,TRUE,FALSE,Portuguese,TRUE
dota2ti_ru,812538090,6195,457060,126232,541644,108438,12068376,TRUE,FALSE,Russian,TRUE
uzra,812362125,208785,14181,3683,185506,29752,20715640,TRUE,FALSE,Chinese,TRUE
OverwatchLeague,805163370,24480,254493,33132,1796619,83198,27099682,TRUE,FALSE,English,TRUE
Thijs,794621265,108720,24923,7180,755116,68557,15548337,TRUE,FALSE,English,TRUE
Swagg,790021440,108375,74199,6309,784966,723082,7527027,TRUE,FALSE,English,TRUE
TeePee,789698115,170010,78741,4410,520519,238257,17102146,TRUE,TRUE,English,TRUE
LVNDMARK,788421150,199350,96236,3688,248829,244295,8815201,TRUE,FALSE,English,TRUE
Agraelus,779867430,169515,23555,4642,414951,132125,20334558,TRUE,TRUE,Czech,TRUE
BLASTPremier,753808200,25260,113167,24689,501371,315910,21104122,TRUE,FALSE,English,TRUE
cloakzy,748023225,101670,40497,6743,2138294,558107,14533643,TRUE,FALSE,English,TRUE
aceu,744620970,118125,26141,6328,859439,763489,15894732,TRUE,TRUE,English,TRUE
蝦愛橘子 (shuteye_orange),728551080,325935,7441,2217,85247,29549,18572922,TRUE,TRUE,Chinese,TRUE
Elraenn,726379485,51150,65543,13224,1223076,672978,20881140,TRUE,FALSE,Turkish,TRUE
Elajjaz,726000045,145755,13080,4922,346566,37883,12800182,TRUE,FALSE,English,TRUE
CDNThe3rd,722562675,134280,55752,4919,2009972,167704,15136396,TRUE,FALSE,English,TRUE
POW3Rtv,721548885,177885,69009,3836,1080764,495072,23271722,TRUE,FALSE,Italian,TRUE
IzakOOO,717096330,129165,43050,4463,1461767,286467,23586902,TRUE,FALSE,Polish,TRUE
DreadzTV,715644660,109725,35865,6249,675908,57448,32228705,TRUE,TRUE,Russian,TRUE
따효니 (ddahyoni),711864630,152445,17253,4534,322895,46946,15586820,TRUE,FALSE,Korean,TRUE
WePlayEsport_EN,704823000,107745,87751,6127,175061,137229,17857171,TRUE,FALSE,English,TRUE
ElmiilloR,686456910,126105,45726,5163,426716,189847,20714971,TRUE,FALSE,Spanish,TRUE
Squeezie,667977780,29775,158972,19260,2149306,875678,21128175,TRUE,FALSE,French,TRUE
allkeyshop_tv,663185955,487005,6075,1361,67472,26937,55639770,TRUE,FALSE,English,TRUE
Domingo,662502810,65610,102022,11423,829700,276400,23040428,TRUE,FALSE,French,TRUE
PlayHearthstone,661075170,41175,43877,13154,825727,39065,28719610,TRUE,FALSE,English,TRUE
ESL_DOTA2,661049190,212010,99858,4714,337177,91323,14784068,TRUE,FALSE,English,TRUE
Kitboga,656365305,80760,20913,7394,772055,331906,8392545,TRUE,FALSE,English,TRUE
DansGaming,653181210,187530,33646,3270,817365,29415,13757678,TRUE,FALSE,English,TRUE
老皮 (mobilmobil),652685055,126120,16497,5303,446426,34362,20520762,TRUE,TRUE,Chinese,TRUE
Destiny,650910525,162690,24101,3894,571183,115692,8579344,TRUE,TRUE,English,TRUE
우왁굳 (woowakgood),650364705,158850,14177,4100,591500,207575,18626351,TRUE,FALSE,Korean,TRUE
RATIRL,649761570,145050,14480,4420,423002,249048,14109245,TRUE,TRUE,English,TRUE
bratishkinoff,646333065,60795,56790,10626,1128907,389268,25254350,TRUE,FALSE,Russian,TRUE
Yogscast,644580630,443130,54885,1384,961860,127684,20999649,TRUE,FALSE,English,TRUE
앰비션_ (lol_ambition),639445965,113415,57254,5332,362297,108498,17248420,TRUE,FALSE,Korean,TRUE
jukes,628079220,76605,24263,8165,1327059,353576,19915875,TRUE,FALSE,Portuguese,TRUE
木棉花官方頻道 (muse_tw),625892895,446655,16702,1397,121053,120954,13670649,TRUE,TRUE,Chinese,TRUE
Shlorox,625142130,115650,13945,5216,331632,77979,13181386,TRUE,FALSE,German,TRUE
coscu,622424175,77160,80444,8919,1865296,1061265,19438119,TRUE,FALSE,Spanish,TRUE
dogdog,622199835,103335,24727,5856,594239,50345,12089717,TRUE,FALSE,English,TRUE
chocoTaco,620395515,160830,30514,3846,1134153,250201,17922897,TRUE,FALSE,English,TRUE
